Date,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,AQS Parameter Description,CBSA Name,State FIPS Code,State,County FIPS Code,County
6/10/2022,1,3.7,ug/m3 LC,21,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/13/2022,1,5.7,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/16/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/19/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/22/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/25/2022,1,11.4,ug/m3 LC,55,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/28/2022,1,2.6,ug/m3 LC,14,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/1/2022,1,9.6,ug/m3 LC,52,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/4/2022,1,12.7,ug/m3 LC,58,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/7/2022,1,5,ug/m3 LC,28,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/10/2022,1,4.9,ug/m3 LC,27,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/13/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/16/2022,1,8.1,ug/m3 LC,45,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/19/2022,1,7.6,ug/m3 LC,42,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/22/2022,1,10.2,ug/m3 LC,53,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/25/2022,1,7.4,ug/m3 LC,41,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/28/2022,1,8.6,ug/m3 LC,48,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/31/2022,1,4.4,ug/m3 LC,24,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/3/2022,1,4.1,ug/m3 LC,23,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/6/2022,1,8.2,ug/m3 LC,46,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/9/2022,1,5.4,ug/m3 LC,30,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/12/2022,1,3.1,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/15/2022,1,6.5,ug/m3 LC,36,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/18/2022,1,5.5,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/21/2022,1,7.2,ug/m3 LC,40,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/24/2022,1,4.2,ug/m3 LC,23,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/27/2022,1,6.9,ug/m3 LC,38,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/30/2022,1,6.6,ug/m3 LC,37,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/2/2022,1,4.6,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/5/2022,1,6.8,ug/m3 LC,38,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/8/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/11/2022,1,7.4,ug/m3 LC,41,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/14/2022,1,6.4,ug/m3 LC,36,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/17/2022,1,4.6,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/20/2022,1,3.4,ug/m3 LC,19,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/23/2022,1,1.6,ug/m3 LC,9,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/26/2022,1,4.5,ug/m3 LC,25,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
9/29/2022,1,3.3,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/2/2022,1,2.8,ug/m3 LC,16,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/5/2022,1,5.2,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/8/2022,1,1.9,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/11/2022,1,7.6,ug/m3 LC,42,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/14/2022,1,4.9,ug/m3 LC,27,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/17/2022,1,8.7,ug/m3 LC,48,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/20/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/23/2022,1,14,ug/m3 LC,60,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/26/2022,1,4,ug/m3 LC,22,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
10/29/2022,1,8,ug/m3 LC,44,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/1/2022,1,7.3,ug/m3 LC,41,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/4/2022,1,6.8,ug/m3 LC,38,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
